"","Proteobacteria","Actinobacteria","Firmicutes","Cyanobacteria/Chloroplast","Campilobacterota","Armatimonadetes","Planctomycetes","Plantae","Deinococcus-Thermus","SR1","Rhodothermaeota","Fusobacteria","Bacteroidetes","Acidobacteria","Candidatus_Saccharibacteria","Chlamydiae","Chloroflexi","Verrucomicrobia","Parcubacteria","candidate_division_WPS-1","Gemmatimonadetes","Abditibacteriota","Tenericutes","BRC1","Hydrogenedentes","Synergistetes","Spirochaetes","Kiritimatiellaeota"
"RS544",76.7862266857963,1.71018651362984,21.1707317073171,0.206599713055954,0.0286944045911047,0,0,0,0,0,0,0,0.0975609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RS553",79.1395232300093,1.25277399957048,18.6770706564536,0.37941155415563,0,0,0.121698045672561,0.17180900565538,0,0,0,0,0.25771350848307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RS560",71.7359196025573,2.69833400468916,25.4423202057447,0.0366663568101302,0.0216899575496545,0,0,0,0,0,0,0,0,0,0,0,0.0650698726489635,0,0,0,0,0,0,0,0,0,0,0
"RS581",73.1680944855693,6.69550029110871,17.7326790318556,1.45554354154537,0,0,0,0.0582217416618149,0,0,0,0,0.224569574981286,0,0,0.291108708309074,0.37428262496881,0,0,0,0,0,0,0,0,0,0,0
"RS630",87.0626547773474,3.95141465361623,7.22067507869266,0.0544271990856231,0,0.0743838387503515,0.00997831983236423,0.0126996797866454,0,0,0,0.011792559801885,0.99057502335834,0.035377679405655,0.287557035169042,0,0.0834550385979553,0.14151071762262,0,0,0,0.0634983989332269,0,0,0,0,0,0
"RS636",55.7800895975589,21.6514969074632,20.193853816871,1.15100703767136,0,0.00747892812002184,0,0.102461315244299,0.0269241412320786,0,0,0,0.666372495493946,0,0.272980876380797,0,0.108444457740317,0.0388904262241136,0,0,0,0,0,0,0,0,0,0
"RS638",82.9711318331565,3.35752973365347,13.119102127422,0.173097325367134,0,0.0145178401920822,0.00893405550281981,0.0223351387570495,0.0826400134010832,0,0,0,0.152995700485789,0.0134010832542297,0.0452286559830253,0,0.0150762186610084,0.00223351387570495,0,0,0.00279189234463119,0.0161929755988609,0,0.00279189234463119,0,0,0,0
"RS697",52.5510371268473,9.47013140216928,35.5670609824032,0.914244519448177,0,0,0,0,0.0524297932300029,0,0,0,0.819215519218796,0.036045482845627,0.481698725300652,0,0.108136448536881,0,0,0,0,0,0,0,0,0,0,0
"RS703",68.3781206171108,18.4230014025245,12.3915848527349,0.250771388499299,0,0.00561009817671809,0.0359046283309958,0.0302945301542777,0,0,0,0,0.293969144460028,0.0185133239831697,0.108835904628331,0.00224403927068724,0.0566619915848527,0.00448807854137447,0,0,0,0,0,0,0,0,0,0
"RS709",85.3104266162377,5.97935831276643,7.04990544568736,0.528863104586686,0,0.184300778871118,0,0.0240392320266675,0.0737203115484471,0,0,0,0.363793711336902,0,0.442321869290682,0,0.0432706176480015,0,0,0,0,0,0,0,0,0,0,0
"RS731",86.9619187881338,5.09362507889754,4.72122869766463,0.0305070481800968,0.155691142436356,0.0136755733221124,2.15968861771513,0,0,0,0,0,0.443930149379339,0,0.195665895224069,0.0147275405007364,0.00841573742899221,0.200925731117189,0,0,0,0,0,0,0,0,0,0
"RS736",44.3359785027501,11.8969643531931,39.6271570726792,0.58781542595625,0.146953856489062,0.079774950665491,0,0,0.0356887937187723,0,0,0,2.65356678003107,0,0.432464206239241,0.00839736322794643,0,0,0,0,0.0545828609816518,0.140655834068103,0,0,0,0,0,0
"RS739",90.4384669080047,5.74720107357565,3.24940612435945,0.0395015232436703,0,0.00919898486496431,0.017856852973166,0.0102812183784895,0.0102812183784895,0,0,0,0.369041628112098,0.00757563459467649,0.0411248735139581,0.0081167513514391,0.0443715740545337,0.00487005081086346,0,0,0,0.00270558378381303,0,0,0,0,0,0
"RS750",44.9947982111251,31.7376677070244,21.96956390544,0.6444813748936,0.151324767270615,0.0072059412986007,0.0423349051292791,0.0333274785060282,0.0391823058111413,0.0103585406167385,0.0072059412986007,0,0.235093834866848,0.0346785924995158,0.0626016150315935,0,0.0189155959088268,0,0,0,0.0112592832790636,0,0,0,0,0,0,0
"biofilm-1",82.0897369459119,8.76756723309794,1.50206127358089,0,0,0,1.09251367092328,0,0,0,0,0,4.41762253555987,0.343803417150724,0.242480025369521,1.01323391781203,0.298169217798885,0.215795620663784,0.00232038301789015,0,0.0143090286103226,0.000386730502981692,0,0,0,0,0,0
"biofilm-10",52.6432606027114,20.3651780820677,0.18843225271664,0.0289895773410216,0,0,0.557596401668713,0,0.00679443218930194,0,0,0,21.4097087906364,2.19686640787429,2.2240441366315,0.00588850789739501,0.079268375541856,0.120940892969575,0.0104181293569296,0,0.151289356748457,0,0,0,0,0,0.00951220506502272,0.00181184858381385
"biofilm-11",66.220677061385,0.517980053378283,29.5266189071499,0,0,0,0,0,0,0,0,0,3.73296811349909,0,0.00175586458772299,0,0,0,0,0,0,0,0,0,0,0,0,0
"biofilm-12",97.9518001064102,0.635308491142334,0.317654245571167,0.00118233590162965,0,0,0.00197055983604942,0,0,0,0,0.00472934360651861,1.08183734999113,0.00472934360651861,0,0.000788223934419769,0,0,0,0,0,0,0,0,0,0,0,0
