clade_name	9_S272_all_profile	5_S271_all_profile	3_S270_all_profile	2_S269_all_profile	1_S268_all_profile	14_S276_all_profile	13_S275_all_profile	12_S274_all_profile	10_S273_all_profile
Corynebacterium	0	0	0	6.20704	0	0	0	0	0
Mycobacteroides	0	0	0	0	0	0.18278	0.0225	0.08804	0
Mycolicibacterium	0	0	0.02015	4.03466	0	0	0	0	1.24834
Rhodococcus	0.87064	0	0	1.94358	4.80816	0	0	0	9.55473
Tsukamurella	0	0	0	0.1593	0.32868	0	0	0	0.44635
Leucobacter	3.06262	0	0	0.52365	0	0	0	0	0
Microbacterium	0.22847	0	0	0.02547	2.66987	0	0.03005	0	4.33554
Kocuria	0.37705	0	0	0.76645	0	0	0	0	0
Nakamurella	0	0	0	1.16055	6.06319	0	0	0	7.24884
Cutibacterium	0	0	0.10352	0	0	0	0	0	0
Tessaracoccus	2.09246	0	0	2.50203	0	0	0	0	0.66423
Bacteroidetes_unclassified	0	0	0	0	0	0.52007	0	0	0
Dysgonomonas	0	0	0	0.01271	0	0	0	0	0
Bacteroidia_unclassified	0	0	0	0.2876	0	0	0	0	0
Chryseobacterium	1.12132	1.01276	0.00488	13.11139	2.52724	0.97477	2.52959	0	37.65764
Elizabethkingia	0	0	0	0	0.73602	0	0.57294	0.11071	12.30695
Flavobacterium	0	0	0	0	0.04506	0	0.08517	0	0
Sphingobacterium	0.6313	0	0	1.49725	0	0.20645	0	0	0
Parachlamydia	0	0	0	0	1.00323	0	0	0	0
Staphylococcus	3.8909	0	0	0.05946	0	0	0	0	0
Aerococcus	1.51171	0	0	1.01729	0	0	0	0	0
Carnobacterium	0.40737	0	0	0	0	0	0	0	0
Enterococcus	0.02128	0	0	0	0	0	0	0	0
Lactobacillus	0.40769	0	0.14403	0	0	0	0	0	0
Pediococcus	0	0	0.31407	0	0	0	0	0	0
Weissella	0.08757	0	0	0	0	0	0	0	0
Streptococcus	0	0	0.34306	0	0	0	0	0	0
Acetoanaerobium	0	0	0	0.0956	0	0	0	0	0
Erysipelothrix	0	0	0	2.39174	0	0	0	0	0
Gemmatimonas	0	0	0	0.53317	0	0	0	0	0.10989
Paludisphaera	0	0	0	0	0.83013	0	0	0	0
Brevundimonas	12.39365	0	0	0	0	1.79209	2.29825	0	0
Afipia	0	0	0	0	3.11802	0	0	0	0
Bosea	0	0	0	0	0.03524	1.05102	0.32665	0	0
Ochrobactrum	1.77918	0	0.01022	2.12841	0	2.28295	0	0	0.08642
Pseudochrobactrum	0.40847	0	0	0.71691	0	0.06799	0	0	0
Devosia	0	0	0	0	0	0.0194	0	0	0
Hyphomicrobium	0	0	0	0	0.00651	0	0	0	0
Methylobacterium	0	0	0	0	0	0	0.12116	0	0
Methylorubrum	0.27551	0.09815	0	0	0	2.03198	0.75362	0.16479	0.27577
Aminobacter	0	0	0	0	0	0.03354	0	0	0
Agrobacterium	0	0	0	0	0	0.03113	0.2693	0	0
Ensifer	0	0	0	0	0	15.14193	0.04504	0	0
Roseomonas	0	0	0	0	0	0	0	0	0.50472
Enhydrobacter	0.34185	0	0	0	0	0	0	0	0.17245
Sphingopyxis	0	0	0	0.42492	0	18.90918	0	0	0
Candidatus_Accumulibacter	0	0	0	0.59935	0	0.17204	0	0.01692	0.15683
Achromobacter	0.02222	2.92275	0.08591	0	0	0.80969	0	75.92072	0
Alcaligenes	0.23315	0	0	0.22247	0	0	0	0	0
Cupriavidus	0	0	0	0	0.58193	0	0	0	1.05117
Pandoraea	0	0	0	0	6.81884	0	0	0	0
Acidovorax	0	0	0	1.04681	0	2.9225	0.09101	0	0.91757
Comamonas	0.67753	0	0	0	0.28126	0	0	4.59434	0
Delftia	8.78528	0.05108	0	0.74386	0.39256	1.74676	0	0	0.80783
Janthinobacterium	0	0	0	0	0.51399	0	0	0	0
Nitrosomonas	0	0	0	0.89318	0	0	0	0	0
Methyloversatilis	0	0	0	0	0	0	0.09729	0	0
Azonexus	0	0	0	0	0	0	1.64504	0	0
Aeromonas	0	0.90294	0.24965	0.15474	0	0	0.2366	0.21911	0
Shewanella	0	0.05603	0	0	0	0	0.18231	0	0
Citrobacter	0	0	0	7.98931	0	0	0	0	0
Klebsiella	1.83648	0	1.20857	6.72267	0	0	0	0	0
Lelliottia	0	0	0	0	0	0.68835	0	0	0
Raoultella	0	0.06154	0	0	0	0	0	2.64955	3.14622
Erwinia	0.79559	0	0	0.0105	0	0	0	0	0.14699
Pantoea	0	0	0	0	0	0	0	0	0.09346
Morganella	0	0	0.88652	0	0	0	0	0	0
Serratia	1.67228	0.2864	5.88715	0.68241	66.18763	0.03108	0	10.55583	3.58805
Legionella	0	0	0	0	0	0	0	0	0.16638
Acinetobacter	11.5925	0	0.05897	6.20182	0	14.72633	1.4193	0.00443	0
Moraxella	1.07577	0	0	0	0	0	0	0	0.06958
Psychrobacter	27.85293	0	0	0	0	0	0	0	0
Pseudomonas	12.85436	94.60836	90.68331	34.03865	1.45139	26.66667	82.5775	5.49139	13.73486
Dyella	0	0	0	0	0.00875	0	0	0	0
Rhodanobacter	0	0	0	0	0.10474	0	0	0	0.08756
Stenotrophomonas	2.62784	0	0	0.4311	0.57257	8.9913	6.69668	0.18418	0.41232
Xanthomonadaceae_unclassified	0.06501	0	0	0.16834	0	0	0	0	0.1537
Xanthomonadales_unclassified	0	0	0	0.49561	0.91499	0	0	0	0.85561
