sample,sample_type,Psychrobacter,Pseudomonas,Kocuria,Erwinia,Methylorubrum,Enhydrobacter,Streptococcus,Pantoea,Lactococcus,Aerococcus,Enterococcus,Staphylococcus,Rothia,Latilactobacillus,Leuconostoc,Vagococcus,Acinetobacter,Pseudochrobactrum,Gordonia,Agrobacterium,Bacillus,Corynebacterium,Carnobacterium,Serratia,Rhodococcus,Stenotrophomonas,Achromobacter,Leucobacter,Bosea,Kluyvera,Pseudoxanthomonas,Aeromonas,Paracoccus,Aminobacter,Comamonas,Paenochrobactrum,Elizabethkingia,Ottowia,Citrobacter,Mycobacterium,Providencia,Enterobacter,Defluviicoccus,Alcaligenes,Microbacterium,Chryseobacterium,Acidovorax,Sphingobacterium,Erysipelothrix,Flavobacterium
01_scrape,scrape,0.010702521,9.816194104,0.005945845,0.051134269,0.032107564,0.002774728,0.005153066,0.006342235,0.003963897,0.004756676,0,0.000792779,0.010702521,0,0.001585559,0,0.816562747,0.200969569,0.014270029,0.058665673,0.42453335,0,0,31.26365067,1.764726868,4.24810823,0.053512607,0.01189169,1.970453113,0.001189169,0.342084296,0.080467106,0.026954498,0.094737134,0.988199479,0,0.698835011,0.808634953,0.015062808,0.196609283,0,0.000792779,0.06223318,0,2.010884861,1.952615577,0.064215129,0.021008653,0,0.585071172
01_swab,swab,2.894240534,38.82924706,0.130567242,30.79210794,0.203104599,0.087044828,1.813433918,3.888002321,0.667343682,0,6.811257798,2.284926737,0,2.038299724,0,1.944001161,0.203104599,0.108806035,0.174089656,0,1.015522994,0.16683592,0.544030176,0.021761207,0,0,0.072537357,0,0.261134484,0.058029885,0,0.036268678,0,0,0,0,0,0,0.094298564,0,0,0.311910634,0.130567242,0,0,0,0,0.021761207,0.16683592,0.174089656
02_scrape,scrape,0.045000145,20.98022897,0.195484502,0.045484018,0.019354901,0.004838725,0.0440324,0.047419508,0.007258088,0.143226268,0.171290875,0.189678031,0.095322888,0.006290343,0.000967745,0.831293004,2.501620973,3.818238123,2.703395817,0.081290585,0.016451666,1.121616521,0.002903235,0.196452247,0.327581702,1.159842451,0.315968761,1.410488421,0.62951816,0.431614296,1.137584315,0.487743509,1.787425121,0.061451811,0.655163404,0.316936506,0.004354853,3.749528224,2.199684515,0.273871851,0,1.981458005,1.239197546,0.363388269,0.2888719,2.122264911,1.686779635,1.429843322,0.50322743,0.713228107
02_swab,swab,19.47603192,15.43789659,11.48300559,6.646195891,0.054187347,1.024847647,2.326129296,7.619212163,3.632908211,4.143368725,2.139222215,5.558522335,5.552239744,0.543444116,0.134290381,0.786109191,0.718571339,0.153923478,0.514387133,0.003926619,0.191619024,0.78375322,0.061255262,0.059684614,0.025915688,0.066752529,0,0.061255262,0.033768926,0.105233398,0.279575297,0,0.787679839,0,0.054972671,0,0,0,0,0.103662751,0,0.145284915,0.033768926,0,0.139787648,0.127222467,0,0.098950807,0.040051517,0
03_scrape,scrape,0.008809523,70.10462604,0.116078415,0.01865546,0.003109243,0.008809523,0.612520923,0.013473387,0.021246496,0.011918766,0.005700279,0.027983189,0.011918766,0.527016733,0.078249289,0.038347334,0.177745073,0.702688977,0.383991543,0.010364144,0.035756298,0.041974784,0.021246496,5.068066517,0.066330523,0.140434154,2.987982775,0.162717064,0.067885145,0.094313712,0.062184865,1.233333161,0.166862722,0.017100838,1.519383541,0.561736616,0.002072829,0.110378136,6.476035508,0.054929964,1.479999793,0.050784307,0.203655434,0.082913154,0.045084027,0.044047613,0.021246496,0.070994388,0.136288496,0.014509802
03_swab,swab,0.26793578,60.90206815,0.900900901,3.638090387,0.001591698,0.075870924,3.780812615,3.283141799,1.318456265,0.10876601,4.12833328,2.548838591,0.100807521,4.489648659,6.584322839,1.440486423,0.067912435,0.634026252,0.028119993,0,0.188881461,0.227612772,0.079054319,0.188350895,0.098685258,0.019100372,0.043506404,0.15015015,0,0.061015079,0,0.022283768,0.022814334,0,0.135824871,0.040323009,0,0,0,0.040323009,0.036609047,0.070565265,0.071095831,0,0,0,0,0,0.004775093,0
04_scrape,scrape,0.087196344,65.13125989,0.026452823,0.078868603,3.286518368,0,0.652992843,0.066621925,0.126875579,0.024983222,0.004898671,0.071030729,0.005388538,0.0372299,0.04898671,0.019104817,0.436961452,2.618339644,0.807300979,0.098953154,0.76664201,0.034780564,0.037719767,0.576083708,0.214561789,0.146470263,2.292578024,1.796832519,1.161964759,0.020084551,0.133733718,0.256200493,4.805106375,0.058784052,0.129814781,0.056824583,0.031841361,0.495745504,1.940363579,1.002268085,0.176842023,0.061723254,0.49476577,0.037719767,0.905274399,0.610864273,0.036740032,0.237095676,0.017635216,0.039189368
04_swab,swab,0,64.1858315,0.213798683,5.344967063,0.803189645,0,0.589390963,2.08598174,1.06321507,0,6.489078932,0.64717439,0,1.739281174,0.364035595,1.733502831,0.132901884,0.676066104,0,0,1.64682769,0.121345198,5.061828268,0.075118456,0,0,0.335143881,0.069340113,0.58361262,0,0,0.161793598,0.011556686,0,0,0,0.034670057,0,0.231133711,0.358257252,0,0.16757194,0.699179475,0,0.156015255,0.06356177,0.358257252,0,0.196463654,0
05_scrape,scrape,0.025521137,79.34473277,0.00529684,0.006741432,0.316847321,0.008186025,0.056820644,0.00529684,0.090527806,0.002889185,0,0.024558075,0.016853581,0.049597681,0.002407654,0,0.064043607,0.055376052,0,0.106418325,0,0,0.004815309,1.064183251,0.061635953,2.715352649,3.069277848,0.019261235,0.088120152,0.995805866,0.010112149,1.335285139,0,0.057783706,0.072711163,0,0.044300841,0.057302175,0.008186025,0.004333778,0.821491686,0.150719166,0,0,0.0327441,2.363835105,0.380890928,0.079934127,0,0.716999485
05_swab,swab,0.051260145,63.178129,2.127296027,1.00811619,1.213156771,0.341734302,3.212302435,0.427167877,1.495087569,0,5.681332764,1.708671508,0,0,0.299017514,3.536950021,0.700555318,0.879965827,0.162323793,0.085433575,0,0.170867151,0,0.845792396,0.179410508,0.546774883,0,0.03417343,0.145237078,0.264844084,0,0,0.375907732,0.093976933,0.008543358,0,0,0,0,0.905595899,0,0,0.307560871,0,0.367364374,0,0,0,0,0.119607006
07_scrape,scrape,0.037538347,99.15689735,0.018553436,0.040558674,0.001294426,0.003020327,0.034949496,0.03365507,0.031497694,0.009923931,0,0.022436713,0.003883277,0.018121961,0.003451802,0,0.007766555,0.088020952,0,0.001725901,0.008629505,0.003451802,0.010355406,0.037538347,0.003451802,0.035380971,0.018121961,0.001725901,0,0.074645219,0.004314753,0.004314753,0,0.001294426,0.003883277,0,0,0.001294426,0.006903604,0.007766555,0.004314753,0.075076695,0,0,0,0.003451802,0,0.002588852,0,0.003020327
07_swab,swab,0.085061833,20.56315296,1.882265698,4.058976204,0.176666885,1.352265044,14.76368078,3.659839909,8.054701302,0.660865013,0.006543218,7.356758054,0.708848612,4.916137757,0.591070689,0,1.603088399,0.061070034,3.771074614,0,0.170123667,2.759056904,0.918231586,4.488647517,0.047983598,0.124321141,1.112347052,0.030535017,0.080699688,0,0.981482693,0.006543218,1.210495322,0,0.263909791,0,0,0,0,0.39477415,0,0,0,0,0.322798752,0.36205806,0,0,0.013086436,0.026172872
08_scrape,scrape,0.228633792,61.93972633,0.573311322,0.024866515,0.001381473,0,0.210674642,0.032464617,0.107064163,0.098775324,0.002762946,5.496881325,0.110517845,0.026938725,0.084269857,1.811801924,0.028320198,5.678545033,0.008288838,0.006907365,0.527722711,0.06769218,0.05180524,0.022103569,0,0.013123994,0.002762946,0.04973303,0.003453683,2.194469963,0,0.014505467,0.004835156,0,0.537393022,3.546932094,0,0,0.01588694,0,0,3.093118192,0,0.008979575,0,0,0,0.002762946,7.537317041,0.001381473
08_swab,swab,32.41828513,3.868781174,25.20143241,0.904390404,0.00639468,0.296439077,3.852337712,5.09290556,4.0085506,4.425575064,0.081303784,3.998501818,2.912319807,1.627902728,0.22746789,0.026949007,0.309685199,0.052984488,0.519339338,0.010048782,0.312882539,1.659419363,0.265379205,0.167175196,0,0.11784481,0.010505545,0.025578719,0.024665193,0.017356988,0.140682952,0.237059909,0.160323753,0,0.189099812,0.041565418,0,0,0.022381379,0.059835931,0,0.05481154,0,0,0.045676283,0.02101109,0,0.001370288,0,0
09_scrape,scrape,12.34805437,18.49026375,0.476393682,0.313187046,0.13949925,0.609404595,0.025204695,0.349871107,0.011479366,0.408515693,1.282195254,2.616546757,0.361849575,0.516821014,0.006238786,0.369835221,5.571984358,6.906585413,0.000748654,0.450190782,0.014224432,0.039678678,0.66605277,0.527052623,0.269016443,3.095435954,0.120533341,2.1097078,0.258784834,1.53074848,0.020213666,0.016470394,3.508942676,0.026951555,5.386817196,0.08534659,0.00174686,0.550011355,0.053653558,0,0,3.326271028,0.000249551,0.373828044,0.314185252,2.279402774,0.177431068,5.661074219,0.007486543,1.294173723
09_swab,swab,18.35225757,4.7773068,9.681153499,31.35465786,0.031209392,3.664550102,1.437334377,6.650437783,0.584466802,1.128077672,1.718218908,1.756805066,3.143069529,0.308121819,0.077739759,0.961816727,0.574820262,0.30017761,0.511266591,0.054474576,0.078874646,1.710274699,0.005106991,0.03574894,0.154344631,0.152642301,0,0.169665606,0.04709781,0.081711864,0.074902542,0,0.474950207,0.005106991,0.329117228,0,0,0.08114442,0,0.029507062,0.010213983,0.085683968,0,0,0.124837569,0.00170233,0.022130296,0.091925846,0.00170233,0.012483757
10_scrape,scrape,0.128491839,16.58525581,0.059341651,0.285918864,0.159388732,0.322700879,0.022559636,0.390870213,0.001961707,0.005394696,0,0.011770245,0.003432988,0.001961707,0,0.003923415,0.035310734,0.306516792,0.193228186,0.412448996,0.00784683,0.001961707,0,2.071563089,2.618879473,1.325133396,0.658152856,0.121135436,1.068149718,0.35850204,0.199603735,0.006865976,0.008337257,0.285918864,0.876883239,0,4.833647207,0.060812932,0.358011613,2.942070778,0,0.755747803,6.789959981,0.005885122,6.644303202,13.56814972,1.683635436,0.287880571,0,0.401659605
10_swab,swab,19.0855647,25.57757137,2.204697562,14.08278752,0.321713164,16.24513993,0.769911845,10.41855708,0.415202459,0.14078388,0.771561656,0.403653782,0.197977332,0.048944396,0.028596726,0.303015305,0.298615808,0.004399496,0.513091251,0.305215053,0.033546159,0.269469146,0.080290807,0.137484258,0.318413542,0.050594207,0,0.024747166,0.045094837,0.004949433,0.078640996,0.006599244,0.551586843,0.037945655,0.004949433,0,0.082490555,0,0,0.027496852,0,0.097888792,0.0296966,0.006599244,0.109437469,0.189728276,0.012098615,0,0.002749685,0
